Колода,Слово,Перевод,Транскрипция,Пример,Статус
Английский A1,apple,яблоко,/ˈæpəl/,I eat an apple every day.,Изучено
Английский A1,car,машина,/kɑːr/,My car is red.,Изучено
Английский A1,house,дом,/haʊs/,This is my house.,Не изучено
Английский A1,happy,счастливый,/ˈhæpi/,I am happy today.,Не изучено
Английский A1,big,большой,/bɪɡ/,This is a big house.,Не изучено
Неправильные глаголы,go,идти,/ɡoʊ/,I go to school every day.,Изучено
Неправильные глаголы,went,пошел (прош.вр.),/went/,I went to the cinema yesterday.,Изучено
Неправильные глаголы,gone,ушедший (прич.),/ɡɒn/,He has gone to London.,Не изучено
Неправильные глаголы,eat,есть,/iːt/,I eat breakfast at 8 AM.,Изучено
Неправильные глаголы,ate,ел (прош.вр.),/eɪt/,I ate an apple.,Не изучено
Путешествия,airport,аэропорт,/ˈeərpɔːt/,The airport is very big.,Не изучено
Путешествия,ticket,билет,/ˈtɪkɪt/,I bought a ticket to Paris.,Не изучено
Путешествия,hotel,отель,/hoʊˈtel/,We stayed at a nice hotel.,Не изучено
Путешествия,passport,паспорт,/ˈpæspɔːt/,Don't forget your passport.,Не изучено
